id,type,namespace,title,comment,timestamp,user,bot,minor,revision,wiki,parsedcomment,length_old,length_new,len_diff,time_delta,time_delta_sec
2010138340.0,edit,0,2025 Northern Ireland Open,"/* Format */ otherwise, it looks as if they withdrew at different stages.",2026-03-27 11:08:31,Alavense,False,0.0,"{'old': 1341468461, 'new': 1345663728}",enwiki,"<span class=""autocomment""><a href=""/wiki/2025_Northern_Ireland_Open#Format"" title=""2025 Northern Ireland Open"">→<bdi dir=""ltr"">Format</bdi></a>: </span> otherwise, it looks as if they withdrew at different stages.",79031,79019,-12,,0.0
2010137214.0,edit,0,2025–26 Bristol City F.C. season,/* Matches */ Fixed score typo which implied a win,2026-03-27 11:01:02,Ufzifxigxig,False,1.0,"{'old': 1345313452, 'new': 1345663131}",enwiki,"<span class=""autocomment""><a href=""/wiki/2025%E2%80%9326_Bristol_City_F.C._season#Matches"" title=""2025–26 Bristol City F.C. season"">→<bdi dir=""ltr"">Matches</bdi></a>: </span> Fixed score typo which implied a win",104685,104683,-2,,0.0
2010137115.0,edit,0,2025–26 in English football,/* Managerial changes */,2026-03-27 11:00:16,LBLM9253,False,0.0,"{'old': 1345547363, 'new': 1345663039}",enwiki,"<span class=""autocomment""><a href=""/wiki/2025%E2%80%9326_in_English_football#Managerial_changes"" title=""2025–26 in English football"">→<bdi dir=""ltr"">Managerial changes</bdi></a></span>",182069,182457,388,,0.0
2010136809.0,edit,0,2026 ATP Challenger Tour,/* March */,2026-03-27 10:59:36,Adamtt9,False,0.0,"{'old': 1345608596, 'new': 1345662973}",enwiki,"<span class=""autocomment""><a href=""/wiki/2026_ATP_Challenger_Tour#March"" title=""2026 ATP Challenger Tour"">→<bdi dir=""ltr"">March</bdi></a></span>",152558,152585,27,,0.0
2010137751.0,edit,0,2026 ATP Challenger Tour,/* March */,2026-03-27 11:04:37,Adamtt9,False,0.0,"{'old': 1345662973, 'new': 1345663409}",enwiki,"<span class=""autocomment""><a href=""/wiki/2026_ATP_Challenger_Tour#March"" title=""2026 ATP Challenger Tour"">→<bdi dir=""ltr"">March</bdi></a></span>",152585,152549,-36,0 days 00:05:01,301.0
2010137677.0,edit,0,2026 African U-20 Women's World Cup qualification,/* Qualified teams for FIFA U-20 Women's World Cup */,2026-03-27 11:04:13,~2026-17812-29,False,0.0,"{'old': 1339998121, 'new': 1345663383}",enwiki,"<span class=""autocomment""><a href=""/wiki/2026_African_U-20_Women%27s_World_Cup_qualification#Qualified_teams_for_FIFA_U-20_Women&#039;s_World_Cup"" title=""2026 African U-20 Women&#039;s World Cup qualification"">→<bdi dir=""ltr"">Qualified teams for FIFA U-20 Women&#039;s World Cup</bdi></a></span>",70863,71071,208,,0.0
2010138043.0,edit,0,2026 CONCACAF U-17 Women's World Cup qualification – Final round,,2026-03-27 11:07:23,~2026-17812-29,False,0.0,"{'old': 1344958313, 'new': 1345663595}",enwiki,,28200,28119,-81,,0.0
2010134824.0,edit,0,2026 Danish general election,/* Analysis and reactions */ https://www.nytimes.com/2026/03/25/world/europe/takeaways-denmark-election-frederiksen.html,2026-03-27 10:56:02,Davide King,False,0.0,"{'old': 1345662396, 'new': 1345662563}",enwiki,"<span class=""autocomment""><a href=""/wiki/2026_Danish_general_election#Analysis_and_reactions"" title=""2026 Danish general election"">→<bdi dir=""ltr"">Analysis and reactions</bdi></a>: </span> https://www.nytimes.com/2026/03/25/world/europe/takeaways-denmark-election-frederiksen.html",51647,51946,299,,0.0
2010137413.0,edit,0,2026 Danish general election,"/* Analysis and reactions */ copyedit, add with ref",2026-03-27 11:02:17,Davide King,False,0.0,"{'old': 1345662563, 'new': 1345663241}",enwiki,"<span class=""autocomment""><a href=""/wiki/2026_Danish_general_election#Analysis_and_reactions"" title=""2026 Danish general election"">→<bdi dir=""ltr"">Analysis and reactions</bdi></a>: </span> copyedit, add with ref",51946,52508,562,0 days 00:06:15,375.0
2010137481.0,edit,0,2026 Danish general election,/* Analysis and reactions */ fix typo,2026-03-27 11:02:44,Davide King,False,1.0,"{'old': 1345663241, 'new': 1345663267}",enwiki,"<span class=""autocomment""><a href=""/wiki/2026_Danish_general_election#Analysis_and_reactions"" title=""2026 Danish general election"">→<bdi dir=""ltr"">Analysis and reactions</bdi></a>: </span> fix typo",52508,52507,-1,0 days 00:00:27,27.0
